set,lvl,end,start,diff,stimulus,ptcp,accuracy
1,9,28146,27674,3.54887218045113,2,3,0
1,10,30352,29817,4.02255639097744,1,3,0
1,11,33138,32652,3.65413533834586,3,3,0
1,12,35267,34837,3.23308270676692,3,3,0
1,13,38076,37597,3.6015037593985,2,3,0
1,15,50227,49573,4.91729323308271,1,3,0
1,16,53559,53089,3.53383458646617,3,3,0
1,17,56922,56338,4.39097744360902,1,3,0
1,18,59235,58684,4.14285714285714,1,3,0
1,19,62338,61747,4.44360902255639,3,3,0
1,20,67836,67210,4.70676691729323,3,3,0
1,21,71080,70440,4.81203007518797,1,3,0
1,22,74045,73315,5.48872180451128,1,3,0
1,23,77486,76884,4.52631578947368,3,3,0
1,24,87946,87430,3.8796992481203,2,3,0
1,26,95595,94992,4.53383458646617,2,3,0
1,27,97804,97258,4.10526315789474,2,3,0
1,28,100356,99816,4.06015037593985,1,3,0
1,29,102809,102342,3.51127819548872,2,3,0
1,31,114245,113704,4.06766917293233,1,3,0
1,32,116555,115996,4.20300751879699,2,3,0
1,33,119122,118600,3.92481203007519,3,3,0
1,34,121652,121109,4.08270676691729,2,3,1
2,0,131392,130863,3.97744360902256,3,3,0
2,1,133595,133141,3.41353383458647,1,3,0
2,2,136046,135545,3.76691729323308,1,3,0
2,3,138448,137955,3.70676691729323,3,3,0
2,4,141116,140649,3.51127819548872,3,3,0
2,5,143338,142913,3.19548872180451,1,3,0
2,6,145681,145212,3.52631578947368,1,3,0
2,7,148154,147693,3.46616541353383,3,3,0
2,8,151322,150876,3.35338345864662,2,3,0
2,9,153970,153511,3.45112781954887,1,3,0
2,10,157760,157305,3.42105263157895,3,3,0
2,12,165075,164603,3.54887218045113,3,3,0
2,13,167525,166983,4.07518796992481,2,3,0
2,14,170891,170323,4.27067669172932,2,3,0
2,15,173123,172678,3.34586466165414,2,3,0
2,16,175893,175453,3.30827067669173,3,3,0
2,17,178410,177930,3.60902255639098,3,3,0
2,18,181086,180651,3.27067669172932,1,3,0
2,19,183305,182869,3.2781954887218,2,3,0
2,20,186004,185539,3.49624060150376,1,3,0
2,21,188557,188078,3.6015037593985,3,3,0
2,22,191062,190545,3.88721804511278,2,3,0
2,23,193840,193183,4.93984962406015,3,3,0
2,24,201143,200713,3.23308270676692,2,3,0
2,25,203810,203054,5.68421052631579,1,3,0
2,26,206088,205628,3.45864661654135,3,3,0
2,27,208261,207798,3.4812030075188,2,3,0
2,28,211051,210268,5.88721804511278,3,3,0
2,29,213240,212759,3.61654135338346,2,3,0
2,30,215669,215238,3.2406015037594,1,3,0
2,31,218000,217556,3.33834586466165,2,3,0
2,32,220456,219914,4.07518796992481,1,3,0
2,33,222558,222105,3.40601503759398,1,3,0
2,34,225156,224431,5.45112781954887,1,3,0
3,0,232879,232431,3.36842105263158,3,3,0
3,1,235234,234764,3.53383458646617,3,3,0
3,2,237636,237169,3.51127819548872,3,3,0
3,3,239899,239472,3.21052631578947,3,3,0
3,4,242514,241986,3.96992481203007,2,3,0
3,5,244704,244226,3.59398496240602,2,3,0
3,6,246800,246358,3.32330827067669,2,3,0
3,7,249228,248803,3.19548872180451,3,3,0
3,8,251646,251161,3.64661654135338,2,3,0
3,9,253784,253339,3.34586466165414,3,3,0
3,10,255989,255526,3.4812030075188,1,3,0
3,11,258433,258003,3.23308270676692,3,3,0
3,12,261474,261040,3.26315789473684,2,3,0
3,13,263667,263235,3.24812030075188,1,3,0
3,14,266020,265588,3.24812030075188,1,3,0
3,15,268292,267860,3.24812030075188,2,3,0
3,16,270527,270091,3.2781954887218,1,3,0
3,17,273006,272215,5.94736842105263,3,3,0
3,18,275558,275131,3.21052631578947,1,3,0
3,19,277771,277348,3.18045112781955,2,3,0
3,20,281892,281288,4.54135338345865,1,3,0
3,21,285581,285149,3.24812030075188,3,3,0
3,22,287877,287389,3.66917293233083,1,3,0
3,23,290293,289660,4.7593984962406,2,3,0
3,24,292528,292086,3.32330827067669,2,3,0
3,26,298230,297774,3.42857142857143,2,3,0
3,28,303153,302726,3.21052631578947,2,3,0
3,29,305722,305230,3.69924812030075,1,3,0
3,30,308016,307510,3.80451127819549,2,3,0
3,31,310405,309975,3.23308270676692,1,3,0
3,32,312480,312056,3.18796992481203,3,3,0
3,33,314811,314371,3.30827067669173,1,3,0
3,34,317075,316558,3.88721804511278,3,3,0
1,0,2679,2176,3.78195488721805,3,4,0
1,1,5388,4837,4.14285714285714,2,4,0
1,2,8007,7430,4.33834586466165,1,4,0
1,3,10544,10105,3.30075187969925,1,4,0
1,4,13357,12876,3.61654135338346,1,4,0
1,5,16375,15859,3.8796992481203,2,4,0
1,6,18848,18302,4.10526315789474,3,4,0
1,7,21011,20547,3.48872180451128,3,4,0
1,9,26765,26243,3.92481203007519,2,4,0
